;Morph,モーフ名,モーフ名(英),パネル(0:無効/1:眉(左下)/2:目(左上)/3:口(右上)/4:その他(右下)),モーフ種類(0:グループモーフ/1:頂点モーフ/2:ボーンモーフ/3:UV(Tex)モーフ/4:追加UV1モーフ/5:追加UV2モーフ/6:追加UV3モーフ/7:追加UV4モーフ/8:材質モーフ/9:フリップモーフ/10:インパルスモーフ)
Morph,"Gウィンク","",0,1
VertexMorph,"Gウィンク",279,0.006324321,0.06337738,-0.03682101
VertexMorph,"Gウィンク",280,-0.02381253,0.0898304,-0.02231503
VertexMorph,"Gウィンク",281,0.01626289,0.1427269,-0.04563606
VertexMorph,"Gウィンク",282,0.004855037,-0.1099434,0.02663827
VertexMorph,"Gウィンク",283,0.006541491,0.06361771,-0.03589308
VertexMorph,"Gウィンク",284,0.01118702,-0.03030396,-0.00631845
VertexMorph,"Gウィンク",285,0.006275475,-0.06265831,0.003936052
VertexMorph,"Gウィンク",286,0.006559908,0.2159138,-0.03032374
VertexMorph,"Gウィンク",287,0.02126032,0.2193966,-0.03722012
VertexMorph,"Gウィンク",288,0.01460093,0.1914139,-0.0498873
VertexMorph,"Gウィンク",304,0.02479413,0.2602997,-0.002214909
VertexMorph,"Gウィンク",305,0.07966688,0.01826668,-0.00553143
VertexMorph,"Gウィンク",306,0.01373976,0.01960754,-0.02072299
VertexMorph,"Gウィンク",307,0.01329565,0.02039146,-0.02117062
VertexMorph,"Gウィンク",308,0.01628047,0.2074261,-0.04418218
VertexMorph,"Gウィンク",309,0.0156399,0.2079735,-0.0427351
VertexMorph,"Gウィンク",311,0.06742588,0.1229038,-0.01588774
VertexMorph,"Gウィンク",312,0.001500636,0.1013889,-0.04674113
VertexMorph,"Gウィンク",313,0.0009052455,0.1012268,-0.04839671
VertexMorph,"Gウィンク",315,0.04826933,0.2153912,-0.007131815
VertexMorph,"Gウィンク",316,0.01199216,0.1706104,-0.04912269
VertexMorph,"Gウィンク",317,0.01087594,0.1705418,-0.05093384
VertexMorph,"Gウィンク",320,-0.02959281,0.2264805,-0.0210228
VertexMorph,"Gウィンク",321,-0.002921224,0.1975155,-0.02898622
VertexMorph,"Gウィンク",322,0.007905245,0.2766438,0.006185174
VertexMorph,"Gウィンク",323,0.01599061,0.2231903,-0.02978086
VertexMorph,"Gウィンク",324,0.0157041,0.2225437,-0.03247464
VertexMorph,"Gウィンク",325,-0.002425611,0.1966133,-0.03069353
VertexMorph,"Gウィンク",326,-0.00372833,0.1445808,-0.01810753
VertexMorph,"Gウィンク",327,0.007382751,-0.1194153,0.04325831
VertexMorph,"Gウィンク",328,-0.02803165,-0.1277523,0.03961623
VertexMorph,"Gウィンク",329,-0.05097193,-0.1020985,0.01373875
VertexMorph,"Gウィンク",330,-0.02796137,-0.08708191,0.01617718
VertexMorph,"Gウィンク",331,-0.03958416,-0.0564537,0.0004681349
VertexMorph,"Gウィンク",332,-0.04359353,4.005432E-05,-0.01556456
VertexMorph,"Gウィンク",333,-0.02429128,0.08959961,-0.02034092
VertexMorph,"Gウィンク",357,-0.01845749,0,0.01361692
VertexMorph,"Gウィンク",720,0.006380409,-0.106369,0.0174551
VertexMorph,"Gウィンク",721,0.009144664,-0.1183548,0.01753449
VertexMorph,"Gウィンク",722,0.0341166,-0.1037865,0.03386545
VertexMorph,"Gウィンク",723,0.03218961,-0.1165638,0.03570557
VertexMorph,"Gウィンク",724,0.02306163,-0.1176929,0.04797578
VertexMorph,"Gウィンク",725,0.02159438,-0.1271648,0.04270864
VertexMorph,"Gウィンク",726,-0.007613659,-0.0669651,-0.005461693
VertexMorph,"Gウィンク",727,-0.0375818,-0.0825634,0.01218045
VertexMorph,"Gウィンク",728,-0.02391678,-0.08778954,-0.004139304
VertexMorph,"Gウィンク",729,-0.02047837,-0.06163406,0.006506801
VertexMorph,"Gウィンク",730,0.007424116,-0.04662704,0.001865029
VertexMorph,"Gウィンク",731,0.001732767,-0.03958702,0.009714603
VertexMorph,"Gウィンク",732,0.02571839,-0.025383,0.01352179
VertexMorph,"Gウィンク",733,-0.009960651,-0.1165199,0.01009142
VertexMorph,"Gウィンク",734,-0.01104021,-0.1242218,0.008789539
VertexMorph,"Gウィンク",735,-0.0220336,-0.1340694,0.002829194
VertexMorph,"Gウィンク",736,0.009761035,-0.1310062,0.05024183
VertexMorph,"Gウィンク",737,0.008262873,-0.1411858,0.04304194
VertexMorph,"Gウィンク",738,0.002490759,-0.1380577,0.006168246
VertexMorph,"Gウィンク",739,-0.03124881,-0.1589489,-0.001865506
VertexMorph,"Gウィンク",740,-0.01646897,-0.1378193,0.003124237
VertexMorph,"Gウィンク",741,-0.03189951,-0.1120205,0.0006188154
VertexMorph,"Gウィンク",742,-0.04951245,-0.1115379,0.01473665
VertexMorph,"Gウィンク",743,-0.02689087,-0.1273079,0.01092052
VertexMorph,"Gウィンク",744,-0.03526187,-0.1287384,0.02755356
VertexMorph,"Gウィンク",745,-0.02521193,-0.1012096,-0.00249505
VertexMorph,"Gウィンク",746,-0.04741544,-0.1012573,0.01278055
VertexMorph,"Gウィンク",747,0.004780352,-0.1341305,0.04889703
VertexMorph,"Gウィンク",748,-0.03869766,-0.1245136,0.003304601
VertexMorph,"Gウィンク",749,-0.04055429,-0.1143246,-0.005483627
VertexMorph,"Gウィンク",750,-0.01209724,-0.1304607,0.01246309
VertexMorph,"Gウィンク",751,0.01103538,-0.1143093,0.006450534
VertexMorph,"Gウィンク",752,0.03227451,-0.1175537,0.01974392
VertexMorph,"Gウィンク",753,0.02275872,-0.1282063,0.02547181
VertexMorph,"Gウィンク",754,-0.005618095,-0.0593605,-0.01239586
VertexMorph,"Gウィンク",755,-0.006721675,-0.0912075,-0.01121593
VertexMorph,"Gウィンク",756,0.01235855,-0.04891396,0.0002359152
VertexMorph,"Gウィンク",757,0.03664696,-0.03259468,0.01517749
VertexMorph,"Gウィンク",758,-0.008940339,-0.1100368,-0.004392266
VertexMorph,"Gウィンク",759,0.0143224,-0.1397648,0.02319384
VertexMorph,"Gウィンク",876,-0.02099311,-0.1089115,-0.0193547
VertexMorph,"Gウィンク",760,-0.02099311,-0.1089115,-0.0193547
VertexMorph,"Gウィンク",761,-0.008908689,-0.1223469,-0.007426262
VertexMorph,"Gウィンク",762,-0.01124984,-0.1300735,-0.004490018
VertexMorph,"Gウィンク",763,-0.009734571,-0.1067333,-0.01171231
VertexMorph,"Gウィンク",764,-0.02587596,-0.1165028,-0.01326048
VertexMorph,"Gウィンク",765,-0.02649605,-0.1234207,-0.01140928
VertexMorph,"Gウィンク",766,-0.02967702,-0.1290684,-0.001775026
VertexMorph,"Gウィンク",767,0.02162528,-0.1449871,0.02447951
VertexMorph,"Gウィンク",768,0.03265196,-0.1332569,0.02206039
VertexMorph,"Gウィンク",769,0.006110609,-0.156292,0.02583766
VertexMorph,"Gウィンク",770,0.01303771,-0.1311989,0.009996533
VertexMorph,"Gウィンク",771,-0.0276143,-0.1361408,-0.001140952
VertexMorph,"Gウィンク",772,-0.005452335,-0.1274548,-0.0008057356
VertexMorph,"Gウィンク",773,-0.02086234,-0.1257076,-0.004659653
VertexMorph,"Gウィンク",774,-0.02649814,-0.1331387,-0.01015413
VertexMorph,"Gウィンク",775,-0.01761019,-0.1154194,-0.003116369
VertexMorph,"Gウィンク",776,-0.01349092,-0.09912682,-0.003983021
VertexMorph,"Gウィンク",777,-0.007114768,-0.07249641,-0.009172916
VertexMorph,"Gウィンク",778,0.007852137,-0.05516624,0.001969457
VertexMorph,"Gウィンク",779,-0.04686475,-0.1716919,-0.003974199
VertexMorph,"Gウィンク",780,0.03733605,-0.1348,0.06060755
VertexMorph,"Gウィンク",781,0.02563822,-0.1536064,0.05782485
VertexMorph,"Gウィンク",782,0.006777018,-0.1052914,0.02054894
VertexMorph,"Gウィンク",783,0.006321818,-0.09828949,0.01679313
VertexMorph,"Gウィンク",784,0.03320748,-0.1342068,0.06212556
VertexMorph,"Gウィンク",785,0.02380165,-0.1172428,0.05235338
VertexMorph,"Gウィンク",786,0.02483812,-0.117712,0.05045879
VertexMorph,"Gウィンク",787,0.03649512,-0.09913826,0.04212046
VertexMorph,"Gウィンク",788,0.03775662,-0.09783554,0.04218316
VertexMorph,"Gウィンク",789,-0.009045333,-0.1182384,0.008628011
VertexMorph,"Gウィンク",790,-0.008309573,-0.1231403,0.009639144
VertexMorph,"Gウィンク",791,-0.04734048,-0.08618355,0.0484674
VertexMorph,"Gウィンク",792,-0.04016083,-0.1083202,0.05184913
VertexMorph,"Gウィンク",793,-0.06430238,-0.07061005,0.0306145
VertexMorph,"Gウィンク",794,-0.05944121,-0.06544113,0.03909397
VertexMorph,"Gウィンク",795,-0.05165979,-0.09114647,0.04076576
VertexMorph,"Gウィンク",796,-0.05290653,-0.07645416,0.04572368
VertexMorph,"Gウィンク",797,-0.05733305,-0.08158493,0.03781021
Morph,"Gウィンク右","",0,1
;VertexMorph,親モーフ名,頂点Index,位置オフセット_x,位置オフセット_y,位置オフセット_z
VertexMorph,"Gウィンク右",482,0.03079596,-0.1689205,0.05285382
VertexMorph,"Gウィンク右",483,0.06737721,-0.1387005,0.01676965
VertexMorph,"Gウィンク右",484,-0.008236557,-0.1620789,0.06006765
VertexMorph,"Gウィンク右",485,0.0505088,-0.1215191,0.01563096
VertexMorph,"Gウィンク右",486,-0.04288408,-0.1481705,0.06153393
VertexMorph,"Gウィンク右",487,0.08191675,-0.07197762,-0.01648533
VertexMorph,"Gウィンク右",488,-0.06115919,-0.09416199,0.03275907
VertexMorph,"Gウィンク右",489,0.07780528,0.009162903,-0.03309035
VertexMorph,"Gウィンク右",490,-0.0740858,-0.03377724,0.007446289
VertexMorph,"Gウィンク右",491,0.02888006,0.1618385,-0.023417
VertexMorph,"Gウィンク右",492,0.01294208,0.2622757,-0.004526973
VertexMorph,"Gウィンク右",493,-0.02071422,0.2743683,0.003209352
VertexMorph,"Gウィンク右",494,-0.03538638,0.242794,-0.004293919
VertexMorph,"Gウィンク右",495,-0.06716475,0.1739693,-0.007812023
VertexMorph,"Gウィンク右",521,-0.07528841,0.07193756,-0.01779413
VertexMorph,"Gウィンク右",579,0.04489076,0.1111317,-0.03057158
VertexMorph,"Gウィンク右",592,0.02567175,-0.1305275,0.03723419
VertexMorph,"Gウィンク右",593,0.05151135,-0.1045094,0.01052821
VertexMorph,"Gウィンク右",594,-0.00721404,-0.1207752,0.04115307
VertexMorph,"Gウィンク右",595,0.02873141,-0.0889492,0.01465869
VertexMorph,"Gウィンク右",596,-0.004255027,-0.1113091,0.02644002
VertexMorph,"Gウィンク右",597,0.04081452,-0.05672836,-0.002185106
VertexMorph,"Gウィンク右",598,-0.006156504,-0.06397247,0.004642606
VertexMorph,"Gウィンク右",599,0.04549903,-0.0008392334,-0.01951778
VertexMorph,"Gウィンク右",600,-0.01090491,-0.03108025,-0.007492304
VertexMorph,"Gウィンク右",601,0.002852142,0.1450768,-0.02062654
VertexMorph,"Gウィンク右",602,-0.006675363,0.2158031,-0.02775705
VertexMorph,"Gウィンク右",603,-0.02143016,0.2195702,-0.03543711
VertexMorph,"Gウィンク右",604,-0.01487127,0.1917686,-0.04681718
VertexMorph,"Gウィンク右",605,-0.01652774,0.1423283,-0.046929
VertexMorph,"Gウィンク右",606,-0.006324321,0.06337738,-0.03682101
VertexMorph,"Gウィンク右",607,0.02381253,0.0898304,-0.02231503
VertexMorph,"Gウィンク右",608,-0.01626289,0.1427269,-0.04563606
VertexMorph,"Gウィンク右",609,-0.004855037,-0.1099434,0.02663827
VertexMorph,"Gウィンク右",610,-0.006541491,0.06361771,-0.03589308
VertexMorph,"Gウィンク右",611,-0.01118702,-0.03030396,-0.00631845
VertexMorph,"Gウィンク右",612,-0.006275475,-0.06265831,0.003936052
VertexMorph,"Gウィンク右",613,-0.006559908,0.2159138,-0.03032374
VertexMorph,"Gウィンク右",614,-0.02126032,0.2193966,-0.03722012
VertexMorph,"Gウィンク右",615,-0.01460093,0.1914139,-0.0498873
VertexMorph,"Gウィンク右",630,-0.02479413,0.2602997,-0.002214909
VertexMorph,"Gウィンク右",631,-0.07966688,0.01826668,-0.00553143
VertexMorph,"Gウィンク右",632,-0.01373976,0.01960754,-0.02072299
VertexMorph,"Gウィンク右",633,-0.01329565,0.02039146,-0.02117062
VertexMorph,"Gウィンク右",634,-0.01628047,0.2074261,-0.04418218
VertexMorph,"Gウィンク右",635,-0.0156399,0.2079735,-0.0427351
VertexMorph,"Gウィンク右",637,-0.06742588,0.1229038,-0.01588774
VertexMorph,"Gウィンク右",638,-0.001500636,0.1013889,-0.04674113
VertexMorph,"Gウィンク右",639,-0.0009052455,0.1012268,-0.04839671
VertexMorph,"Gウィンク右",641,-0.04826933,0.2153912,-0.007131815
VertexMorph,"Gウィンク右",642,-0.01199216,0.1706104,-0.04912269
VertexMorph,"Gウィンク右",643,-0.01087594,0.1705418,-0.05093384
VertexMorph,"Gウィンク右",646,0.02959281,0.2264805,-0.0210228
VertexMorph,"Gウィンク右",647,0.002921224,0.1975155,-0.02898622
VertexMorph,"Gウィンク右",648,-0.007905245,0.2766438,0.006185174
VertexMorph,"Gウィンク右",649,-0.01599061,0.2231903,-0.02978086
VertexMorph,"Gウィンク右",650,-0.0157041,0.2225437,-0.03247464
VertexMorph,"Gウィンク右",651,0.002425611,0.1966133,-0.03069353
VertexMorph,"Gウィンク右",652,0.00372833,0.1445808,-0.01810753
VertexMorph,"Gウィンク右",653,-0.007382751,-0.1194153,0.04325831
VertexMorph,"Gウィンク右",654,0.02803165,-0.1277523,0.03961623
VertexMorph,"Gウィンク右",655,0.05097193,-0.1020985,0.01373875
VertexMorph,"Gウィンク右",656,0.02796137,-0.08708191,0.01617718
VertexMorph,"Gウィンク右",657,0.03958416,-0.0564537,0.0004681349
VertexMorph,"Gウィンク右",658,0.04359353,4.005432E-05,-0.01556456
VertexMorph,"Gウィンク右",659,0.02429128,0.08959961,-0.02034092
VertexMorph,"Gウィンク右",678,0.01845749,0,0.01361692
VertexMorph,"Gウィンク右",798,-0.006380409,-0.106369,0.0174551
VertexMorph,"Gウィンク右",799,-0.009144664,-0.1183548,0.01753449
VertexMorph,"Gウィンク右",800,-0.0341166,-0.1037865,0.03386545
VertexMorph,"Gウィンク右",801,-0.03218961,-0.1165638,0.03570557
VertexMorph,"Gウィンク右",802,-0.02306163,-0.1176929,0.04797578
VertexMorph,"Gウィンク右",803,-0.02159438,-0.1271648,0.04270864
VertexMorph,"Gウィンク右",804,0.007613659,-0.0669651,-0.005461693
VertexMorph,"Gウィンク右",805,0.0375818,-0.0825634,0.01218045
VertexMorph,"Gウィンク右",806,0.02391678,-0.08778954,-0.004139304
VertexMorph,"Gウィンク右",807,0.02047837,-0.06163406,0.006506801
VertexMorph,"Gウィンク右",808,-0.007424116,-0.04662704,0.001865029
VertexMorph,"Gウィンク右",809,-0.001732767,-0.03958702,0.009714603
VertexMorph,"Gウィンク右",810,-0.02571839,-0.025383,0.01352179
VertexMorph,"Gウィンク右",811,0.009960651,-0.1165199,0.01009142
VertexMorph,"Gウィンク右",812,0.01104021,-0.1242218,0.008789539
VertexMorph,"Gウィンク右",813,0.0220336,-0.1340694,0.002829194
VertexMorph,"Gウィンク右",814,-0.009761035,-0.1310062,0.05024183
VertexMorph,"Gウィンク右",815,-0.008262873,-0.1411858,0.04304194
VertexMorph,"Gウィンク右",816,-0.002490759,-0.1380577,0.006168246
VertexMorph,"Gウィンク右",817,0.03124881,-0.1589489,-0.001865506
VertexMorph,"Gウィンク右",818,0.01646897,-0.1378193,0.003124237
VertexMorph,"Gウィンク右",819,0.03189951,-0.1120205,0.0006188154
VertexMorph,"Gウィンク右",820,0.04951245,-0.1115379,0.01473665
VertexMorph,"Gウィンク右",821,0.02689087,-0.1273079,0.01092052
VertexMorph,"Gウィンク右",822,0.03526187,-0.1287384,0.02755356
VertexMorph,"Gウィンク右",823,0.02521193,-0.1012096,-0.00249505
VertexMorph,"Gウィンク右",824,0.04741544,-0.1012573,0.01278055
VertexMorph,"Gウィンク右",825,-0.004780352,-0.1341305,0.04889703
VertexMorph,"Gウィンク右",826,0.03869766,-0.1245136,0.003304601
VertexMorph,"Gウィンク右",827,0.04055429,-0.1143246,-0.005483627
VertexMorph,"Gウィンク右",828,0.01209724,-0.1304607,0.01246309
VertexMorph,"Gウィンク右",829,-0.01103538,-0.1143093,0.006450534
VertexMorph,"Gウィンク右",830,-0.03227451,-0.1175537,0.01974392
VertexMorph,"Gウィンク右",831,-0.02275872,-0.1282063,0.02547181
VertexMorph,"Gウィンク右",832,0.005618095,-0.0593605,-0.01239586
VertexMorph,"Gウィンク右",833,0.006721675,-0.0912075,-0.01121593
VertexMorph,"Gウィンク右",834,-0.01235855,-0.04891396,0.0002359152
VertexMorph,"Gウィンク右",835,-0.03664696,-0.03259468,0.01517749
VertexMorph,"Gウィンク右",836,0.008940339,-0.1100368,-0.004392266
VertexMorph,"Gウィンク右",837,-0.0143224,-0.1397648,0.02319384
VertexMorph,"Gウィンク右",877,0.02099311,-0.1089115,-0.0193547
VertexMorph,"Gウィンク右",838,0.02099311,-0.1089115,-0.0193547
VertexMorph,"Gウィンク右",839,0.008908689,-0.1223469,-0.007426262
VertexMorph,"Gウィンク右",840,0.01124984,-0.1300735,-0.004490018
VertexMorph,"Gウィンク右",841,0.009734571,-0.1067333,-0.01171231
VertexMorph,"Gウィンク右",842,0.02587596,-0.1165028,-0.01326048
VertexMorph,"Gウィンク右",843,0.02649605,-0.1234207,-0.01140928
VertexMorph,"Gウィンク右",844,0.02967702,-0.1290684,-0.001775026
VertexMorph,"Gウィンク右",845,-0.02162528,-0.1449871,0.02447951
VertexMorph,"Gウィンク右",846,-0.03265196,-0.1332569,0.02206039
VertexMorph,"Gウィンク右",847,-0.006110609,-0.156292,0.02583766
VertexMorph,"Gウィンク右",848,-0.01303771,-0.1311989,0.009996533
VertexMorph,"Gウィンク右",849,0.0276143,-0.1361408,-0.001140952
VertexMorph,"Gウィンク右",850,0.005452335,-0.1274548,-0.0008057356
VertexMorph,"Gウィンク右",851,0.02086234,-0.1257076,-0.004659653
VertexMorph,"Gウィンク右",852,0.02649814,-0.1331387,-0.01015413
VertexMorph,"Gウィンク右",853,0.01761019,-0.1154194,-0.003116369
VertexMorph,"Gウィンク右",854,0.01349092,-0.09912682,-0.003983021
VertexMorph,"Gウィンク右",855,0.007114768,-0.07249641,-0.009172916
VertexMorph,"Gウィンク右",856,-0.007852137,-0.05516624,0.001969457
VertexMorph,"Gウィンク右",857,0.04686475,-0.1716919,-0.003974199
VertexMorph,"Gウィンク右",858,-0.03733605,-0.1348,0.06060755
VertexMorph,"Gウィンク右",859,-0.02563822,-0.1536064,0.05782485
VertexMorph,"Gウィンク右",860,-0.006777018,-0.1052914,0.02054894
VertexMorph,"Gウィンク右",861,-0.006321818,-0.09828949,0.01679313
VertexMorph,"Gウィンク右",862,-0.03320748,-0.1342068,0.06212556
VertexMorph,"Gウィンク右",863,-0.02380165,-0.1172428,0.05235338
VertexMorph,"Gウィンク右",864,-0.02483812,-0.117712,0.05045879
VertexMorph,"Gウィンク右",865,-0.03649512,-0.09913826,0.04212046
VertexMorph,"Gウィンク右",866,-0.03775662,-0.09783554,0.04218316
VertexMorph,"Gウィンク右",867,0.009045333,-0.1182384,0.008628011
VertexMorph,"Gウィンク右",868,0.008309573,-0.1231403,0.009639144
VertexMorph,"Gウィンク右",869,0.04734048,-0.08618355,0.0484674
VertexMorph,"Gウィンク右",870,0.04016083,-0.1083202,0.05184913
VertexMorph,"Gウィンク右",871,0.06430238,-0.07061005,0.0306145
VertexMorph,"Gウィンク右",872,0.05944121,-0.06544113,0.03909397
VertexMorph,"Gウィンク右",873,0.05165979,-0.09114647,0.04076576
VertexMorph,"Gウィンク右",874,0.05290653,-0.07645416,0.04572368
VertexMorph,"Gウィンク右",875,0.05733305,-0.08158493,0.03781021
