;Morph,モーフ名,モーフ名(英),パネル(0:無効/1:眉(左下)/2:目(左上)/3:口(右上)/4:その他(右下)),モーフ種類(0:グループモーフ/1:頂点モーフ/2:ボーンモーフ/3:UV(Tex)モーフ/4:追加UV1モーフ/5:追加UV2モーフ/6:追加UV3モーフ/7:追加UV4モーフ/8:材質モーフ/9:フリップモーフ/10:インパルスモーフ)
Morph,"Gウィンク２","",0,1
VertexMorph,"Gウィンク２",317,0.01925716,0.09426308,-0.05395639
VertexMorph,"Gウィンク２",320,0.0005757213,0.1652431,-0.01747286
VertexMorph,"Gウィンク２",321,0.02422065,0.1426983,-0.02995503
VertexMorph,"Gウィンク２",322,0.03099996,0.1793232,0.009892583
VertexMorph,"Gウィンク２",323,0.03602844,0.1338539,-0.03009009
VertexMorph,"Gウィンク２",324,0.03634298,0.1330738,-0.03357339
VertexMorph,"Gウィンク２",325,0.02496982,0.1426601,-0.03141201
VertexMorph,"Gウィンク２",326,0.01122916,0.1247253,-0.03175128
VertexMorph,"Gウィンク２",327,0.03302154,-0.213686,0.04940248
VertexMorph,"Gウィンク２",328,-0.01677984,-0.2361088,0.03795457
VertexMorph,"Gウィンク２",329,-0.03188765,-0.1823425,0.01333833
VertexMorph,"Gウィンク２",330,-0.04378915,-0.1236153,-0.01145875
VertexMorph,"Gウィンク２",331,-0.04920191,-0.07526398,-0.02628577
VertexMorph,"Gウィンク２",332,-0.04609078,-0.01363373,-0.04076302
VertexMorph,"Gウィンク２",333,-0.0179978,0.07724953,-0.03967667
VertexMorph,"Gウィンク２",357,-0.01845749,0,0.01361692
VertexMorph,"Gウィンク２",720,0.04838821,-0.1633911,0.0482111
VertexMorph,"Gウィンク２",721,0.04496345,-0.2022209,0.03910398
VertexMorph,"Gウィンク２",722,0.04987964,-0.2022095,0.05805278
VertexMorph,"Gウィンク２",723,0.04467767,-0.2332764,0.05593073
VertexMorph,"Gウィンク２",724,0.02032652,-0.2339478,0.06620276
VertexMorph,"Gウィンク２",725,0.02210724,-0.2574692,0.06161761
VertexMorph,"Gウィンク２",726,-0.007958531,-0.02533531,-0.01919496
VertexMorph,"Gウィンク２",727,-0.04852021,-0.05906868,-0.01719701
VertexMorph,"Gウィンク２",728,-0.03299034,-0.08970451,-0.02154565
VertexMorph,"Gウィンク２",729,-0.02922487,-0.004154205,-0.02331781
VertexMorph,"Gウィンク２",730,0.02253592,0.03461075,-0.01064289
VertexMorph,"Gウィンク２",731,0.003683388,0.05121231,-0.01707923
VertexMorph,"Gウィンク２",732,0.05768526,0.1040936,0.01016438
VertexMorph,"Gウィンク２",733,0.01391846,-0.1279602,0.02577281
VertexMorph,"Gウィンク２",734,0.02619505,-0.1678619,0.02197313
VertexMorph,"Gウィンク２",735,-0.003412455,-0.1200695,0.01291597
VertexMorph,"Gウィンク２",736,-0.01319134,-0.2241173,0.05484724
VertexMorph,"Gウィンク２",737,0.002729177,-0.2518616,0.0573858
VertexMorph,"Gウィンク２",738,-0.009531021,-0.1175728,0.007736325
VertexMorph,"Gウィンク２",739,-0.05865964,-0.1435795,-0.00292933
VertexMorph,"Gウィンク２",740,0.01738191,-0.1463776,0.0154202
VertexMorph,"Gウィンク２",741,-0.05360723,-0.175333,-0.006746054
VertexMorph,"Gウィンク２",742,-0.09613293,-0.1530666,-0.01491046
VertexMorph,"Gウィンク２",743,-0.04370135,-0.2157688,0.01547229
VertexMorph,"Gウィンク２",744,-0.0805518,-0.1956081,0.008260489
VertexMorph,"Gウィンク２",745,-0.05250704,-0.1389999,-0.02210009
VertexMorph,"Gウィンク２",746,-0.08013397,-0.1157722,-0.01760471
VertexMorph,"Gウィンク２",747,-0.01581973,-0.04804611,-0.02751958
VertexMorph,"Gウィンク２",748,-0.07684571,-0.09744263,-0.02610052
VertexMorph,"Gウィンク２",749,-0.09157294,-0.1291599,-0.01896632
VertexMorph,"Gウィンク２",750,-0.06800622,-0.1673603,0.005580544
VertexMorph,"Gウィンク２",751,0.03811172,-0.1811371,0.0243479
VertexMorph,"Gウィンク２",752,0.04189959,-0.2154942,0.02724099
VertexMorph,"Gウィンク２",753,0.02002478,-0.2364998,0.0250293
VertexMorph,"Gウィンク２",754,0.005849838,-0.02883148,-0.01709783
VertexMorph,"Gウィンク２",755,-0.0139038,-0.09132004,-0.02178681
VertexMorph,"Gウィンク２",756,0.03316438,0.03213882,-0.007317901
VertexMorph,"Gウィンク２",757,0.06237364,0.1027718,0.005236268
VertexMorph,"Gウィンク２",758,0.02170157,-0.1451244,0.01686156
VertexMorph,"Gウィンク２",759,0.01254851,-0.2335873,0.0245266
VertexMorph,"Gウィンク２",876,-0.02634156,-0.101963,-0.02477396
VertexMorph,"Gウィンク２",760,-0.02634156,-0.101963,-0.02477396
VertexMorph,"Gウィンク２",761,-0.02062643,-0.1737309,-0.01274705
VertexMorph,"Gウィンク２",762,-0.01714957,-0.2028618,-0.004910469
VertexMorph,"Gウィンク２",763,-0.02793777,-0.1360664,-0.02557909
VertexMorph,"Gウィンク２",764,-0.01326868,-0.1148491,-0.01327598
VertexMorph,"Gウィンク２",765,0.002752364,-0.1306705,-0.001297235
VertexMorph,"Gウィンク２",766,0.009445757,-0.1349487,0.008559346
VertexMorph,"Gウィンク２",767,0.02019319,-0.2458744,0.04067969
VertexMorph,"Gウィンク２",768,0.04053712,-0.2252312,0.03754508
VertexMorph,"Gウィンク２",769,0.006288052,-0.2451439,0.03819776
VertexMorph,"Gウィンク２",770,0.03822887,-0.1972713,0.02999771
VertexMorph,"Gウィンク２",771,-0.03196365,-0.2091351,0.003867149
VertexMorph,"Gウィンク２",772,0.02313176,-0.1618252,0.015118
VertexMorph,"Gウィンク２",773,-0.02879286,-0.1786327,-0.007605314
VertexMorph,"Gウィンク２",774,0.0003247261,-0.1391048,-0.0003598928
VertexMorph,"Gウィンク２",775,-0.03294462,-0.1482601,-0.01853597
VertexMorph,"Gウィンク２",776,-0.009150803,-0.09893799,-0.01192117
VertexMorph,"Gウィンク２",777,0.008774996,-0.03393936,-0.01029515
VertexMorph,"Gウィンク２",778,0.03555697,0.02265358,-0.001663446
VertexMorph,"Gウィンク２",779,-0.02440053,-0.1242561,0.005038142
VertexMorph,"Gウィンク２",780,-0.01160449,-0.2306461,0.04868484
VertexMorph,"Gウィンク２",781,-0.02885824,-0.1938496,0.03776896
VertexMorph,"Gウィンク２",782,0.006554216,-0.1567078,0.02799392
VertexMorph,"Gウィンク２",783,0.01096049,-0.1509476,0.02417886
VertexMorph,"Gウィンク２",784,-0.01045984,-0.2270966,0.05142868
VertexMorph,"Gウィンク２",785,0.02005574,-0.2394352,0.05839384
VertexMorph,"Gウィンク２",786,0.02058837,-0.2378616,0.05533886
VertexMorph,"Gウィンク２",787,0.0552302,-0.2044144,0.05945611
VertexMorph,"Gウィンク２",788,0.06041685,-0.2001705,0.05969417
VertexMorph,"Gウィンク２",789,0.001316518,-0.1250401,0.01190865
VertexMorph,"Gウィンク２",790,-0.0008708239,-0.1338005,0.02016735
VertexMorph,"Gウィンク２",791,-0.02607062,-0.106781,0.0484674
VertexMorph,"Gウィンク２",792,-0.01889098,-0.1289177,0.05184913
VertexMorph,"Gウィンク２",793,-0.04303253,-0.0912075,0.0306145
VertexMorph,"Gウィンク２",794,-0.03817135,-0.08603859,0.03909397
VertexMorph,"Gウィンク２",795,-0.03038993,-0.1117439,0.04076576
VertexMorph,"Gウィンク２",796,-0.03163669,-0.09705162,0.04572368
VertexMorph,"Gウィンク２",797,-0.03606319,-0.1021824,0.03781021
Morph,"Gｳｨﾝｸ２右","",0,1
;VertexMorph,親モーフ名,頂点Index,位置オフセット_x,位置オフセット_y,位置オフセット_z
VertexMorph,"Gｳｨﾝｸ２右",482,0.01346308,-0.260994,0.05598342
VertexMorph,"Gｳｨﾝｸ２右",483,0.04145676,-0.2046757,0.02510691
VertexMorph,"Gｳｨﾝｸ２右",484,-0.03342345,-0.2389164,0.06284964
VertexMorph,"Gｳｨﾝｸ２右",485,0.06512403,-0.1462708,-0.006401181
VertexMorph,"Gｳｨﾝｸ２右",486,-0.07948107,-0.2051868,0.06925166
VertexMorph,"Gｳｨﾝｸ２右",487,0.09193295,-0.08189201,-0.0394032
VertexMorph,"Gｳｨﾝｸ２右",488,-0.1093374,-0.1325245,0.04434896
VertexMorph,"Gｳｨﾝｸ２右",489,0.07315886,-0.00254631,-0.04743016
VertexMorph,"Gｳｨﾝｸ２右",490,-0.1020888,-0.06147003,0.01776302
VertexMorph,"Gｳｨﾝｸ２右",491,0.006070375,0.1387863,-0.02932382
VertexMorph,"Gｳｨﾝｸ２右",492,-0.01368326,0.177496,-0.001742005
VertexMorph,"Gｳｨﾝｸ２右",493,-0.03808171,0.1714993,0.00578928
VertexMorph,"Gｳｨﾝｸ２右",494,-0.04076391,0.149025,-0.005313039
VertexMorph,"Gｳｨﾝｸ２右",495,-0.0689711,0.1040611,-0.006521702
VertexMorph,"Gｳｨﾝｸ２右",521,-0.08592165,0.03332901,-0.01116645
VertexMorph,"Gｳｨﾝｸ２右",579,0.03203428,0.09583855,-0.04088676
VertexMorph,"Gｳｨﾝｸ２右",592,0.0145312,-0.2378922,0.03309202
VertexMorph,"Gｳｨﾝｸ２右",593,0.03115547,-0.1836224,0.009253621
VertexMorph,"Gｳｨﾝｸ２右",594,-0.03288117,-0.2145252,0.04440594
VertexMorph,"Gｳｨﾝｸ２右",595,0.04307121,-0.1245632,-0.01265514
VertexMorph,"Gｳｨﾝｸ２右",596,-0.04430589,-0.1865139,0.0332644
VertexMorph,"Gｳｨﾝｸ２右",597,0.04962164,-0.07621002,-0.02854586
VertexMorph,"Gｳｨﾝｸ２右",598,-0.05156881,-0.1187096,0.01555789
VertexMorph,"Gｳｨﾝｸ２右",599,0.0485245,-0.01567078,-0.04463172
VertexMorph,"Gｳｨﾝｸ２右",600,-0.04273191,-0.07247734,-0.0004249811
VertexMorph,"Gｳｨﾝｸ２右",601,-0.009034097,0.1229668,-0.03621292
VertexMorph,"Gｳｨﾝｸ２右",602,-0.02711111,0.1383324,-0.02996886
VertexMorph,"Gｳｨﾝｸ２右",603,-0.03598514,0.1236534,-0.03625703
VertexMorph,"Gｳｨﾝｸ２右",604,-0.02021003,0.1045799,-0.04907286
VertexMorph,"Gｳｨﾝｸ２右",605,-0.01881972,0.07770157,-0.05157518
VertexMorph,"Gｳｨﾝｸ２右",606,-0.02352723,0.02544212,-0.03518033
VertexMorph,"Gｳｨﾝｸ２右",607,0.01866436,0.07591057,-0.04232419
VertexMorph,"Gｳｨﾝｸ２右",608,-0.01887977,0.07940292,-0.04761565
VertexMorph,"Gｳｨﾝｸ２右",609,-0.04464489,-0.1855011,0.03754449
VertexMorph,"Gｳｨﾝｸ２右",610,-0.02280992,0.02614212,-0.03157234
VertexMorph,"Gｳｨﾝｸ２右",611,-0.04275322,-0.07139778,0.003861904
VertexMorph,"Gｳｨﾝｸ２右",612,-0.05225632,-0.1177273,0.01956773
VertexMorph,"Gｳｨﾝｸ２右",613,-0.02640373,0.1375656,-0.03323126
VertexMorph,"Gｳｨﾝｸ２右",614,-0.0345521,0.1229954,-0.04100215
VertexMorph,"Gｳｨﾝｸ２右",615,-0.01976708,0.1039467,-0.05349493
VertexMorph,"Gｳｨﾝｸ２右",630,-0.03349301,0.1584797,-0.001697659
VertexMorph,"Gｳｨﾝｸ２右",631,-0.09494424,-0.01400948,0.001140237
VertexMorph,"Gｳｨﾝｸ２右",632,-0.03618807,-0.01534271,-0.01562798
VertexMorph,"Gｳｨﾝｸ２右",633,-0.03682271,-0.01573753,-0.01907229
VertexMorph,"Gｳｨﾝｸ２右",634,-0.02031279,0.1124516,-0.04857588
VertexMorph,"Gｳｨﾝｸ２右",635,-0.02137512,0.1132641,-0.0444777
VertexMorph,"Gｳｨﾝｸ２右",637,-0.07091439,0.07641602,-0.011572
VertexMorph,"Gｳｨﾝｸ２右",638,-0.008881181,0.06036568,-0.04446149
VertexMorph,"Gｳｨﾝｸ２右",639,-0.009110004,0.05970955,-0.04829335
VertexMorph,"Gｳｨﾝｸ２右",641,-0.0527063,0.1334171,-0.006719708
VertexMorph,"Gｳｨﾝｸ２右",642,-0.01840445,0.09518623,-0.05007684
VertexMorph,"Gｳｨﾝｸ２右",643,-0.01925716,0.09426308,-0.05395639
VertexMorph,"Gｳｨﾝｸ２右",646,-0.0005757213,0.1652431,-0.01747286
VertexMorph,"Gｳｨﾝｸ２右",647,-0.02422065,0.1426983,-0.02995503
VertexMorph,"Gｳｨﾝｸ２右",648,-0.03099996,0.1793232,0.009892583
VertexMorph,"Gｳｨﾝｸ２右",649,-0.03602844,0.1338539,-0.03009009
VertexMorph,"Gｳｨﾝｸ２右",650,-0.03634298,0.1330738,-0.03357339
VertexMorph,"Gｳｨﾝｸ２右",651,-0.02496982,0.1426601,-0.03141201
VertexMorph,"Gｳｨﾝｸ２右",652,-0.01122916,0.1247253,-0.03175128
VertexMorph,"Gｳｨﾝｸ２右",653,-0.03302154,-0.213686,0.04940248
VertexMorph,"Gｳｨﾝｸ２右",654,0.01677984,-0.2361088,0.03795457
VertexMorph,"Gｳｨﾝｸ２右",655,0.03188765,-0.1823425,0.01333833
VertexMorph,"Gｳｨﾝｸ２右",656,0.04378915,-0.1236153,-0.01145875
VertexMorph,"Gｳｨﾝｸ２右",657,0.04920191,-0.07526398,-0.02628577
VertexMorph,"Gｳｨﾝｸ２右",658,0.04609078,-0.01363373,-0.04076302
VertexMorph,"Gｳｨﾝｸ２右",659,0.0179978,0.07724953,-0.03967667
VertexMorph,"Gｳｨﾝｸ２右",678,0.01845749,0,0.01361692
VertexMorph,"Gｳｨﾝｸ２右",798,-0.04838821,-0.1633911,0.0482111
VertexMorph,"Gｳｨﾝｸ２右",799,-0.04496345,-0.2022209,0.03910398
VertexMorph,"Gｳｨﾝｸ２右",800,-0.04987964,-0.2022095,0.05805278
VertexMorph,"Gｳｨﾝｸ２右",801,-0.04467767,-0.2332764,0.05593073
VertexMorph,"Gｳｨﾝｸ２右",802,-0.02032652,-0.2339478,0.06620276
VertexMorph,"Gｳｨﾝｸ２右",803,-0.02210724,-0.2574692,0.06161761
VertexMorph,"Gｳｨﾝｸ２右",804,0.007958531,-0.02533531,-0.01919496
VertexMorph,"Gｳｨﾝｸ２右",805,0.04852021,-0.05906868,-0.01719701
VertexMorph,"Gｳｨﾝｸ２右",806,0.03299034,-0.08970451,-0.02154565
VertexMorph,"Gｳｨﾝｸ２右",807,0.02922487,-0.004154205,-0.02331781
VertexMorph,"Gｳｨﾝｸ２右",808,-0.02253592,0.03461075,-0.01064289
VertexMorph,"Gｳｨﾝｸ２右",809,-0.003683388,0.05121231,-0.01707923
VertexMorph,"Gｳｨﾝｸ２右",810,-0.05768526,0.1040936,0.01016438
VertexMorph,"Gｳｨﾝｸ２右",811,-0.01391846,-0.1279602,0.02577281
VertexMorph,"Gｳｨﾝｸ２右",812,-0.02619505,-0.1678619,0.02197313
VertexMorph,"Gｳｨﾝｸ２右",813,0.003412455,-0.1200695,0.01291597
VertexMorph,"Gｳｨﾝｸ２右",814,0.01319134,-0.2241173,0.05484724
VertexMorph,"Gｳｨﾝｸ２右",815,-0.002729177,-0.2518616,0.0573858
VertexMorph,"Gｳｨﾝｸ２右",816,0.009531021,-0.1175728,0.007736325
VertexMorph,"Gｳｨﾝｸ２右",817,0.05865964,-0.1435795,-0.00292933
VertexMorph,"Gｳｨﾝｸ２右",818,-0.01738191,-0.1463776,0.0154202
VertexMorph,"Gｳｨﾝｸ２右",819,0.05360723,-0.175333,-0.006746054
VertexMorph,"Gｳｨﾝｸ２右",820,0.09613293,-0.1530666,-0.01491046
VertexMorph,"Gｳｨﾝｸ２右",821,0.04370135,-0.2157688,0.01547229
VertexMorph,"Gｳｨﾝｸ２右",822,0.0805518,-0.1956081,0.008260489
VertexMorph,"Gｳｨﾝｸ２右",823,0.05250704,-0.1389999,-0.02210009
VertexMorph,"Gｳｨﾝｸ２右",824,0.08013397,-0.1157722,-0.01760471
VertexMorph,"Gｳｨﾝｸ２右",825,0.01581973,-0.04804611,-0.02751958
VertexMorph,"Gｳｨﾝｸ２右",826,0.07684571,-0.09744263,-0.02610052
VertexMorph,"Gｳｨﾝｸ２右",827,0.09157294,-0.1291599,-0.01896632
VertexMorph,"Gｳｨﾝｸ２右",828,0.06800622,-0.1673603,0.005580544
VertexMorph,"Gｳｨﾝｸ２右",829,-0.03811172,-0.1811371,0.0243479
VertexMorph,"Gｳｨﾝｸ２右",830,-0.04189959,-0.2154942,0.02724099
VertexMorph,"Gｳｨﾝｸ２右",831,-0.02002478,-0.2364998,0.0250293
VertexMorph,"Gｳｨﾝｸ２右",832,-0.005849838,-0.02883148,-0.01709783
VertexMorph,"Gｳｨﾝｸ２右",833,0.0139038,-0.09132004,-0.02178681
VertexMorph,"Gｳｨﾝｸ２右",834,-0.03316438,0.03213882,-0.007317901
VertexMorph,"Gｳｨﾝｸ２右",835,-0.06237364,0.1027718,0.005236268
VertexMorph,"Gｳｨﾝｸ２右",836,-0.02170157,-0.1451244,0.01686156
VertexMorph,"Gｳｨﾝｸ２右",837,-0.01254851,-0.2335873,0.0245266
VertexMorph,"Gｳｨﾝｸ２右",877,0.02634156,-0.101963,-0.02477396
VertexMorph,"Gｳｨﾝｸ２右",838,0.02634156,-0.101963,-0.02477396
VertexMorph,"Gｳｨﾝｸ２右",839,0.02062643,-0.1737309,-0.01274705
VertexMorph,"Gｳｨﾝｸ２右",840,0.01714957,-0.2028618,-0.004910469
VertexMorph,"Gｳｨﾝｸ２右",841,0.02793777,-0.1360664,-0.02557909
VertexMorph,"Gｳｨﾝｸ２右",842,0.01326868,-0.1148491,-0.01327598
VertexMorph,"Gｳｨﾝｸ２右",843,-0.002752364,-0.1306705,-0.001297235
VertexMorph,"Gｳｨﾝｸ２右",844,-0.009445757,-0.1349487,0.008559346
VertexMorph,"Gｳｨﾝｸ２右",845,-0.02019319,-0.2458744,0.04067969
VertexMorph,"Gｳｨﾝｸ２右",846,-0.04053712,-0.2252312,0.03754508
VertexMorph,"Gｳｨﾝｸ２右",847,-0.006288052,-0.2451439,0.03819776
VertexMorph,"Gｳｨﾝｸ２右",848,-0.03822887,-0.1972713,0.02999771
VertexMorph,"Gｳｨﾝｸ２右",849,0.03196365,-0.2091351,0.003867149
VertexMorph,"Gｳｨﾝｸ２右",850,-0.02313176,-0.1618252,0.015118
VertexMorph,"Gｳｨﾝｸ２右",851,0.02879286,-0.1786327,-0.007605314
VertexMorph,"Gｳｨﾝｸ２右",852,-0.0003247261,-0.1391048,-0.0003598928
VertexMorph,"Gｳｨﾝｸ２右",853,0.03294462,-0.1482601,-0.01853597
VertexMorph,"Gｳｨﾝｸ２右",854,0.009150803,-0.09893799,-0.01192117
VertexMorph,"Gｳｨﾝｸ２右",855,-0.008774996,-0.03393936,-0.01029515
VertexMorph,"Gｳｨﾝｸ２右",856,-0.03555697,0.02265358,-0.001663446
VertexMorph,"Gｳｨﾝｸ２右",857,0.02440053,-0.1242561,0.005038142
VertexMorph,"Gｳｨﾝｸ２右",858,0.01160449,-0.2306461,0.04868484
VertexMorph,"Gｳｨﾝｸ２右",859,0.02885824,-0.1938496,0.03776896
VertexMorph,"Gｳｨﾝｸ２右",860,-0.006554216,-0.1567078,0.02799392
VertexMorph,"Gｳｨﾝｸ２右",861,-0.01096049,-0.1509476,0.02417886
VertexMorph,"Gｳｨﾝｸ２右",862,0.01045984,-0.2270966,0.05142868
VertexMorph,"Gｳｨﾝｸ２右",863,-0.02005574,-0.2394352,0.05839384
VertexMorph,"Gｳｨﾝｸ２右",864,-0.02058837,-0.2378616,0.05533886
VertexMorph,"Gｳｨﾝｸ２右",865,-0.0552302,-0.2044144,0.05945611
VertexMorph,"Gｳｨﾝｸ２右",866,-0.06041685,-0.2001705,0.05969417
VertexMorph,"Gｳｨﾝｸ２右",867,-0.001316518,-0.1250401,0.01190865
VertexMorph,"Gｳｨﾝｸ２右",868,0.0008708239,-0.1338005,0.02016735
VertexMorph,"Gｳｨﾝｸ２右",869,0.02607062,-0.106781,0.0484674
VertexMorph,"Gｳｨﾝｸ２右",870,0.01889098,-0.1289177,0.05184913
VertexMorph,"Gｳｨﾝｸ２右",871,0.04303253,-0.0912075,0.0306145
VertexMorph,"Gｳｨﾝｸ２右",872,0.03817135,-0.08603859,0.03909397
VertexMorph,"Gｳｨﾝｸ２右",873,0.03038993,-0.1117439,0.04076576
VertexMorph,"Gｳｨﾝｸ２右",874,0.03163669,-0.09705162,0.04572368
VertexMorph,"Gｳｨﾝｸ２右",875,0.03606319,-0.1021824,0.03781021
